,Party,2019,2014,%2019,%2014,municipality
6,FDF,-,42,-,"1,99%",Erezee
7,PTB,266,-,"12,14%",-,Erezee
8,PTB-GO!,-,61,-,"2,88%",Erezee
9,LISTES DESTEXHE,23,-,"1,05%",-,Erezee
10,PS,391,351,"17,84%","16,60%",Erezee
11,LA DROITE,24,17,"1,09%","0,80%",Erezee
12,NATION,22,-,"1,00%",-,Erezee
13,MG,-,4,-,"0,19%",Erezee
14,DEBOUT LES BELGES,-,17,-,"0,80%",Erezee
15,R.W.F.,-,13,-,"0,61%",Erezee
16,B.U.B.-Belg.Unie,-,6,-,"0,28%",Erezee
0,ECOLO,328,176,"14,64%","8,19%",Manhay
1,CDH,514,740,"22,95%","34,43%",Manhay
2,MR,565,590,"25,22%","27,45%",Manhay
3,PARTI POPULAIRE,73,111,"3,26%","5,17%",Manhay
4,VLAAMS BELANG,34,-,"1,52%",-,Manhay
5,DéFI,106,-,"4,73%",-,Manhay
6,FDF,-,32,-,"1,49%",Manhay
7,PTB,242,-,"10,80%",-,Manhay
8,PTB-GO!,-,102,-,"4,75%",Manhay
9,LISTES DESTEXHE,28,-,"1,25%",-,Manhay
10,PS,306,296,"13,66%","13,77%",Manhay
11,LA DROITE,22,27,"0,98%","1,26%",Manhay
12,NATION,22,-,"0,98%",-,Manhay
13,MG,-,2,-,"0,09%",Manhay
14,DEBOUT LES BELGES,-,36,-,"1,68%",Manhay
15,R.W.F.,-,30,-,"1,40%",Manhay
16,B.U.B.-Belg.Unie,-,7,-,"0,33%",Manhay
0,ECOLO,412,164,"29,51%","12,05%",Fauvillers
1,CDH,363,513,"26,00%","37,69%",Fauvillers
2,MR,271,343,"19,41%","25,20%",Fauvillers
3,PARTI POPULAIRE,49,78,"3,51%","5,73%",Fauvillers
4,VLAAMS BELANG,14,-,"1,00%",-,Fauvillers
5,DéFI,32,-,"2,29%",-,Fauvillers
6,FDF,-,21,-,"1,54%",Fauvillers
7,PTB,93,-,"6,66%",-,Fauvillers
8,PTB-GO!,-,31,-,"2,28%",Fauvillers
9,LISTES DESTEXHE,24,-,"1,72%",-,Fauvillers
10,PS,122,161,"8,74%","11,83%",Fauvillers
11,LA DROITE,6,24,"0,43%","1,76%",Fauvillers
12,NATION,10,-,"0,72%",-,Fauvillers
13,MG,-,1,-,"0,07%",Fauvillers
14,DEBOUT LES BELGES,-,16,-,"1,18%",Fauvillers
15,R.W.F.,-,5,-,"0,37%",Fauvillers
16,B.U.B.-Belg.Unie,-,4,-,"0,29%",Fauvillers
0,ECOLO,512,118,"16,03%","6,90%",Chiny
1,CDH,513,325,"16,06%","18,99%",Chiny
2,MR,723,416,"22,64%","24,31%",Chiny
3,PARTI POPULAIRE,90,41,"2,82%","2,40%",Chiny
4,VLAAMS BELANG,24,-,"0,75%",-,Chiny
5,DéFI,97,-,"3,04%",-,Chiny
6,FDF,-,26,-,"1,52%",Chiny
7,PTB,269,-,"8,42%",-,Chiny
8,PTB-GO!,-,32,-,"1,87%",Chiny
9,LISTES DESTEXHE,27,-,"0,85%",-,Chiny
10,PS,893,706,"27,96%","41,26%",Chiny
11,LA DROITE,33,13,"1,03%","0,76%",Chiny
12,NATION,13,-,"0,41%",-,Chiny
13,MG,-,4,-,"0,23%",Chiny
14,DEBOUT LES BELGES,-,16,-,"0,94%",Chiny
15,R.W.F.,-,8,-,"0,47%",Chiny
16,B.U.B.-Belg.Unie,-,6,-,"0,35%",Chiny
0,ECOLO,487,358,"14,81%","7,00%",Florenville
1,CDH,647,1.160,"19,67%","22,68%",Florenville
2,MR,830,1.178,"25,24%","23,03%",Florenville
3,PARTI POPULAIRE,84,110,"2,55%","2,15%",Florenville
4,VLAAMS BELANG,24,-,"0,73%",-,Florenville
5,DéFI,99,-,"3,01%",-,Florenville
6,FDF,-,61,-,"1,19%",Florenville
7,PTB,347,-,"10,55%",-,Florenville
8,PTB-GO!,-,116,-,"2,27%",Florenville
9,LISTES DESTEXHE,15,-,"0,46%",-,Florenville
10,PS,717,1.940,"21,80%","37,94%",Florenville
11,LA DROITE,18,59,"0,55%","1,15%",Florenville
12,NATION,21,-,"0,64%",-,Florenville
13,MG,-,16,-,"0,31%",Florenville
14,DEBOUT LES BELGES,-,74,-,"1,45%",Florenville
15,R.W.F.,-,20,-,"0,39%",Florenville
16,B.U.B.-Belg.Unie,-,22,-,"0,43%",Florenville
0,ECOLO,521,218,"16,32%","6,69%",Houffalize
1,CDH,866,1.305,"27,12%","40,06%",Houffalize
2,MR,718,758,"22,49%","23,27%",Houffalize
3,PARTI POPULAIRE,134,171,"4,20%","5,25%",Houffalize
4,VLAAMS BELANG,52,-,"1,63%",-,Houffalize
5,DéFI,72,-,"2,25%",-,Houffalize
6,FDF,-,47,-,"1,44%",Houffalize
7,PTB,278,-,"8,71%",-,Houffalize
8,PTB-GO!,-,82,-,"2,52%",Houffalize
9,LISTES DESTEXHE,41,-,"1,28%",-,Houffalize
10,PS,467,547,"14,63%","16,79%",Houffalize
11,LA DROITE,23,40,"0,72%","1,23%",Houffalize
12,NATION,21,-,"0,66%",-,Houffalize
13,MG,-,14,-,"0,43%",Houffalize
14,DEBOUT LES BELGES,-,53,-,"1,63%",Houffalize
15,R.W.F.,-,8,-,"0,25%",Houffalize
16,B.U.B.-Belg.Unie,-,15,-,"0,46%",Houffalize
0,ECOLO,385,192,"13,82%","6,91%",La Roche-en-Ardenne
1,CDH,500,885,"17,95%","31,87%",La Roche-en-Ardenne
2,MR,849,971,"30,47%","34,97%",La Roche-en-Ardenne
3,PARTI POPULAIRE,87,74,"3,12%","2,66%",La Roche-en-Ardenne
4,VLAAMS BELANG,38,-,"1,36%",-,La Roche-en-Ardenne
5,DéFI,133,-,"4,77%",-,La Roche-en-Ardenne
6,FDF,-,46,-,"1,66%",La Roche-en-Ardenne
7,PTB,280,-,"10,05%",-,La Roche-en-Ardenne
8,PTB-GO!,-,71,-,"2,56%",La Roche-en-Ardenne
9,LISTES DESTEXHE,18,-,"0,65%",-,La Roche-en-Ardenne
10,PS,460,439,"16,51%","15,81%",La Roche-en-Ardenne
11,LA DROITE,22,33,"0,79%","1,19%",La Roche-en-Ardenne
12,NATION,14,-,"0,50%",-,La Roche-en-Ardenne
13,MG,-,3,-,"0,11%",La Roche-en-Ardenne
14,DEBOUT LES BELGES,-,46,-,"1,66%",La Roche-en-Ardenne
15,R.W.F.,-,10,-,"0,36%",La Roche-en-Ardenne
16,B.U.B.-Belg.Unie,-,7,-,"0,25%",La Roche-en-Ardenne
0,ECOLO,250,101,"14,83%","6,25%",Rendeux
1,CDH,261,470,"15,48%","29,08%",Rendeux
2,MR,394,402,"23,37%","24,88%",Rendeux
3,PARTI POPULAIRE,72,77,"4,27%","4,76%",Rendeux
4,VLAAMS BELANG,32,-,"1,90%",-,Rendeux
5,DéFI,53,-,"3,14%",-,Rendeux
6,FDF,-,31,-,"1,92%",Rendeux
7,PTB,212,-,"12,57%",-,Rendeux
8,PTB-GO!,-,65,-,"4,02%",Rendeux
9,LISTES DESTEXHE,22,-,"1,30%",-,Rendeux
10,PS,359,387,"21,29%","23,95%",Rendeux
11,LA DROITE,17,27,"1,01%","1,67%",Rendeux
12,NATION,14,-,"0,83%",-,Rendeux
13,MG,-,5,-,"0,31%",Rendeux
14,DEBOUT LES BELGES,-,30,-,"1,86%",Rendeux
15,R.W.F.,-,6,-,"0,37%",Rendeux
16,B.U.B.-Belg.Unie,-,15,-,"0,93%",Rendeux
0,ECOLO,218,101,"11,57%","5,44%",Tenneville
1,CDH,446,832,"23,67%","44,80%",Tenneville
2,MR,570,392,"30,25%","21,11%",Tenneville
3,PARTI POPULAIRE,48,76,"2,55%","4,09%",Tenneville
4,VLAAMS BELANG,20,-,"1,06%",-,Tenneville
5,DéFI,46,-,"2,44%",-,Tenneville
6,FDF,-,22,-,"1,18%",Tenneville
7,PTB,214,-,"11,36%",-,Tenneville
8,PTB-GO!,-,51,-,"2,75%",Tenneville
9,LISTES DESTEXHE,22,-,"1,17%",-,Tenneville
10,PS,275,332,"14,60%","17,88%",Tenneville
11,LA DROITE,14,10,"0,74%","0,54%",Tenneville
12,NATION,11,-,"0,58%",-,Tenneville
13,MG,-,6,-,"0,32%",Tenneville
14,DEBOUT LES BELGES,-,26,-,"1,40%",Tenneville
15,R.W.F.,-,3,-,"0,16%",Tenneville
16,B.U.B.-Belg.Unie,-,6,-,"0,32%",Tenneville
0,ECOLO,392,176,"11,24%","5,14%",Hotton
1,CDH,563,973,"16,14%","28,43%",Hotton
2,MR,697,734,"19,98%","21,45%",Hotton
3,PARTI POPULAIRE,102,162,"2,92%","4,73%",Hotton
4,VLAAMS BELANG,39,-,"1,12%",-,Hotton
5,DéFI,98,-,"2,81%",-,Hotton
6,FDF,-,47,-,"1,37%",Hotton
7,PTB,393,-,"11,26%",-,Hotton
8,PTB-GO!,-,116,-,"3,39%",Hotton
9,LISTES DESTEXHE,21,-,"0,60%",-,Hotton
10,PS,1.127,1.078,"32,30%","31,50%",Hotton
11,LA DROITE,35,42,"1,00%","1,23%",Hotton
12,NATION,22,-,"0,63%",-,Hotton
13,MG,-,5,-,"0,15%",Hotton
14,DEBOUT LES BELGES,-,62,-,"1,81%",Hotton
15,R.W.F.,-,15,-,"0,44%",Hotton
16,B.U.B.-Belg.Unie,-,12,-,"0,35%",Hotton
0,ECOLO,1.349,646,"12,65%","6,09%",Marche-en-Famenne
1,CDH,2.332,3.728,"21,87%","35,14%",Marche-en-Famenne
2,MR,2.120,2.015,"19,88%","18,99%",Marche-en-Famenne
3,PARTI POPULAIRE,358,569,"3,36%","5,36%",Marche-en-Famenne
4,VLAAMS BELANG,65,-,"0,61%",-,Marche-en-Famenne
5,DéFI,375,-,"3,52%",-,Marche-en-Famenne
6,FDF,-,175,-,"1,65%",Marche-en-Famenne
7,PTB,1.168,-,"10,95%",-,Marche-en-Famenne
8,PTB-GO!,-,348,-,"3,28%",Marche-en-Famenne
9,LISTES DESTEXHE,119,-,"1,12%",-,Marche-en-Famenne
10,PS,2.622,2.700,"24,59%","25,45%",Marche-en-Famenne
11,LA DROITE,92,121,"0,86%","1,14%",Marche-en-Famenne
12,NATION,63,-,"0,59%",-,Marche-en-Famenne
13,MG,-,17,-,"0,16%",Marche-en-Famenne
14,DEBOUT LES BELGES,-,184,-,"1,73%",Marche-en-Famenne
15,R.W.F.,-,57,-,"0,54%",Marche-en-Famenne
16,B.U.B.-Belg.Unie,-,50,-,"0,47%",Marche-en-Famenne
0,ECOLO,1.248,650,"17,29%","8,86%",Aubange
1,CDH,1.578,1.965,"21,86%","26,79%",Aubange
2,MR,1.107,1.324,"15,33%","18,05%",Aubange
3,PARTI POPULAIRE,296,334,"4,10%","4,55%",Aubange
4,VLAAMS BELANG,93,-,"1,29%",-,Aubange
5,DéFI,179,-,"2,48%",-,Aubange
6,FDF,-,120,-,"1,64%",Aubange
7,PTB,675,-,"9,35%",-,Aubange
8,PTB-GO!,-,179,-,"2,44%",Aubange
9,LISTES DESTEXHE,39,-,"0,54%",-,Aubange
10,PS,1.814,2.160,"25,13%","29,45%",Aubange
11,LA DROITE,127,150,"1,76%","2,05%",Aubange
12,NATION,63,-,"0,87%",-,Aubange
13,MG,-,151,-,"2,06%",Aubange
14,DEBOUT LES BELGES,-,226,-,"3,08%",Aubange
15,R.W.F.,-,32,-,"0,44%",Aubange
16,B.U.B.-Belg.Unie,-,43,-,"0,59%",Aubange
0,ECOLO,801,477,"18,23%","10,43%",Messancy
1,CDH,1.231,1.495,"28,02%","32,68%",Messancy
2,MR,871,988,"19,83%","21,60%",Messancy
3,PARTI POPULAIRE,167,203,"3,80%","4,44%",Messancy
4,VLAAMS BELANG,38,-,"0,87%",-,Messancy
5,DéFI,155,-,"3,53%",-,Messancy
6,FDF,-,99,-,"2,16%",Messancy
7,PTB,299,-,"6,81%",-,Messancy
8,PTB-GO!,-,100,-,"2,19%",Messancy
9,LISTES DESTEXHE,29,-,"0,66%",-,Messancy
10,PS,720,947,"16,39%","20,70%",Messancy
11,LA DROITE,57,69,"1,30%","1,51%",Messancy
12,NATION,25,-,"0,57%",-,Messancy
13,MG,-,53,-,"1,16%",Messancy
14,DEBOUT LES BELGES,-,92,-,"2,01%",Messancy
15,R.W.F.,-,13,-,"0,28%",Messancy
16,B.U.B.-Belg.Unie,-,38,-,"0,83%",Messancy
0,ECOLO,532,323,"15,79%","9,42%",Nassogne
1,CDH,590,1.076,"17,51%","31,37%",Nassogne
2,MR,676,693,"20,07%","20,20%",Nassogne
3,PARTI POPULAIRE,100,177,"2,97%","5,16%",Nassogne
4,VLAAMS BELANG,29,-,"0,86%",-,Nassogne
5,DéFI,180,-,"5,34%",-,Nassogne
6,FDF,-,70,-,"2,04%",Nassogne
7,PTB,391,-,"11,61%",-,Nassogne
8,PTB-GO!,-,125,-,"3,64%",Nassogne
9,LISTES DESTEXHE,42,-,"1,25%",-,Nassogne
10,PS,780,845,"23,15%","24,64%",Nassogne
11,LA DROITE,27,29,"0,80%","0,85%",Nassogne
12,NATION,22,-,"0,65%",-,Nassogne
13,MG,-,8,-,"0,23%",Nassogne
14,DEBOUT LES BELGES,-,60,-,"1,75%",Nassogne
15,R.W.F.,-,12,-,"0,35%",Nassogne
16,B.U.B.-Belg.Unie,-,12,-,"0,35%",Nassogne
0,ECOLO,457,193,"14,78%","6,46%",Leglise
1,CDH,746,1.149,"24,13%","38,45%",Leglise
2,MR,854,825,"27,63%","27,61%",Leglise
3,PARTI POPULAIRE,95,104,"3,07%","3,48%",Leglise
4,VLAAMS BELANG,29,-,"0,94%",-,Leglise
5,DéFI,122,-,"3,95%",-,Leglise
6,FDF,-,70,-,"2,34%",Leglise
7,PTB,267,-,"8,64%",-,Leglise
8,PTB-GO!,-,44,-,"1,47%",Leglise
9,LISTES DESTEXHE,32,-,"1,04%",-,Leglise
10,PS,428,482,"13,85%","16,13%",Leglise
11,LA DROITE,37,39,"1,20%","1,31%",Leglise
12,NATION,24,-,"0,78%",-,Leglise
13,MG,-,3,-,"0,10%",Leglise
14,DEBOUT LES BELGES,-,49,-,"1,64%",Leglise
15,R.W.F.,-,12,-,"0,40%",Leglise
16,B.U.B.-Belg.Unie,-,18,-,"0,60%",Leglise
0,ECOLO,841,379,"12,31%","5,58%",Libramont-Chevigny
1,CDH,1.368,2.195,"20,02%","32,33%",Libramont-Chevigny
2,MR,2.601,2.195,"38,07%","32,33%",Libramont-Chevigny
3,PARTI POPULAIRE,152,270,"2,22%","3,98%",Libramont-Chevigny
4,VLAAMS BELANG,26,-,"0,38%",-,Libramont-Chevigny
5,DéFI,167,-,"2,44%",-,Libramont-Chevigny
6,FDF,-,114,-,"1,68%",Libramont-Chevigny
7,PTB,541,-,"7,92%",-,Libramont-Chevigny
8,PTB-GO!,-,101,-,"1,49%",Libramont-Chevigny
9,LISTES DESTEXHE,45,-,"0,66%",-,Libramont-Chevigny
10,PS,1.022,1.298,"14,96%","19,12%",Libramont-Chevigny
11,LA DROITE,30,57,"0,44%","0,84%",Libramont-Chevigny
12,NATION,39,-,"0,57%",-,Libramont-Chevigny
13,MG,-,8,-,"0,12%",Libramont-Chevigny
14,DEBOUT LES BELGES,-,136,-,"2,00%",Libramont-Chevigny
15,R.W.F.,-,13,-,"0,19%",Libramont-Chevigny
16,B.U.B.-Belg.Unie,-,23,-,"0,34%",Libramont-Chevigny
0,ECOLO,639,341,"13,68%","7,46%",Neufchateau
1,CDH,1.494,1.816,"31,98%","39,72%",Neufchateau
2,MR,1.128,1.219,"24,15%","26,66%",Neufchateau
3,PARTI POPULAIRE,102,137,"2,18%","3,00%",Neufchateau
4,VLAAMS BELANG,29,-,"0,62%",-,Neufchateau
5,DéFI,132,-,"2,83%",-,Neufchateau
6,FDF,-,77,-,"1,68%",Neufchateau
7,PTB,434,-,"9,29%",-,Neufchateau
8,PTB-GO!,-,98,-,"2,14%",Neufchateau
9,LISTES DESTEXHE,36,-,"0,77%",-,Neufchateau
10,PS,620,734,"13,27%","16,05%",Neufchateau
11,LA DROITE,28,43,"0,60%","0,94%",Neufchateau
12,NATION,29,-,"0,62%",-,Neufchateau
13,MG,-,5,-,"0,11%",Neufchateau
14,DEBOUT LES BELGES,-,75,-,"1,64%",Neufchateau
15,R.W.F.,-,10,-,"0,22%",Neufchateau
16,B.U.B.-Belg.Unie,-,17,-,"0,37%",Neufchateau
0,ECOLO,612,308,"11,57%","6,63%",Bertrix
1,CDH,836,1.414,"15,81%","30,43%",Bertrix
2,MR,2.106,1.251,"39,83%","26,93%",Bertrix
3,PARTI POPULAIRE,132,211,"2,50%","4,54%",Bertrix
4,VLAAMS BELANG,25,-,"0,47%",-,Bertrix
5,DéFI,128,-,"2,42%",-,Bertrix
6,FDF,-,69,-,"1,49%",Bertrix
7,PTB,523,-,"9,89%",-,Bertrix
8,PTB-GO!,-,99,-,"2,13%",Bertrix
9,LISTES DESTEXHE,35,-,"0,66%",-,Bertrix
10,PS,822,1.114,"15,54%","23,98%",Bertrix
11,LA DROITE,37,55,"0,70%","1,18%",Bertrix
12,NATION,32,-,"0,61%",-,Bertrix
13,MG,-,12,-,"0,26%",Bertrix
14,DEBOUT LES BELGES,-,79,-,"1,70%",Bertrix
15,R.W.F.,-,12,-,"0,26%",Bertrix
16,B.U.B.-Belg.Unie,-,22,-,"0,47%",Bertrix
0,ECOLO,155,44,"15,03%","3,84%",Herbeumont
1,CDH,197,457,"19,11%","39,84%",Herbeumont
2,MR,264,307,"25,61%","26,77%",Herbeumont
3,PARTI POPULAIRE,43,40,"4,17%","3,49%",Herbeumont
4,VLAAMS BELANG,13,-,"1,26%",-,Herbeumont
5,DéFI,34,-,"3,30%",-,Herbeumont
6,FDF,-,19,-,"1,66%",Herbeumont
7,PTB,136,-,"13,19%",-,Herbeumont
8,PTB-GO!,-,24,-,"2,09%",Herbeumont
9,LISTES DESTEXHE,6,-,"0,58%",-,Herbeumont
10,PS,162,223,"15,71%","19,44%",Herbeumont
11,LA DROITE,11,15,"1,07%","1,31%",Herbeumont
12,NATION,10,-,"0,97%",-,Herbeumont
13,MG,-,0,-,"0,00%",Herbeumont
14,DEBOUT LES BELGES,-,10,-,"0,87%",Herbeumont
15,R.W.F.,-,5,-,"0,44%",Herbeumont
16,B.U.B.-Belg.Unie,-,3,-,"0,26%",Herbeumont
0,ECOLO,309,247,"9,32%","6,35%",Paliseul
1,CDH,660,1.213,"19,90%","31,17%",Paliseul
2,MR,933,1.206,"28,13%","30,99%",Paliseul
3,PARTI POPULAIRE,96,122,"2,89%","3,14%",Paliseul
4,VLAAMS BELANG,33,-,"0,99%",-,Paliseul
5,DéFI,94,-,"2,83%",-,Paliseul
6,FDF,-,41,-,"1,05%",Paliseul
7,PTB,386,-,"11,64%",-,Paliseul
8,PTB-GO!,-,62,-,"1,59%",Paliseul
9,LISTES DESTEXHE,24,-,"0,72%",-,Paliseul
10,PS,726,841,"21,89%","21,61%",Paliseul
11,LA DROITE,29,41,"0,87%","1,05%",Paliseul
12,NATION,27,-,"0,81%",-,Paliseul
13,MG,-,7,-,"0,18%",Paliseul
14,DEBOUT LES BELGES,-,83,-,"2,13%",Paliseul
15,R.W.F.,-,13,-,"0,33%",Paliseul
16,B.U.B.-Belg.Unie,-,15,-,"0,39%",Paliseul
0,ECOLO,433,182,"13,68%","6,27%",Libin
1,CDH,499,925,"15,76%","31,86%",Libin
2,MR,1.007,842,"31,81%","29,00%",Libin
3,PARTI POPULAIRE,94,111,"2,97%","3,82%",Libin
4,VLAAMS BELANG,27,-,"0,85%",-,Libin
5,DéFI,120,-,"3,79%",-,Libin
6,FDF,-,52,-,"1,79%",Libin
7,PTB,345,-,"10,90%",-,Libin
8,PTB-GO!,-,45,-,"1,55%",Libin
9,LISTES DESTEXHE,18,-,"0,57%",-,Libin
10,PS,573,664,"18,10%","22,87%",Libin
11,LA DROITE,23,27,"0,73%","0,93%",Libin
12,NATION,27,-,"0,85%",-,Libin
13,MG,-,7,-,"0,24%",Libin
14,DEBOUT LES BELGES,-,35,-,"1,21%",Libin
15,R.W.F.,-,11,-,"0,38%",Libin
16,B.U.B.-Belg.Unie,-,2,-,"0,07%",Libin
0,ECOLO,413,218,"12,34%","6,07%",Saint-Hubert
1,CDH,546,1.073,"16,31%","29,86%",Saint-Hubert
2,MR,727,719,"21,72%","20,01%",Saint-Hubert
3,PARTI POPULAIRE,85,154,"2,54%","4,29%",Saint-Hubert
4,VLAAMS BELANG,27,-,"0,81%",-,Saint-Hubert
5,DéFI,109,-,"3,26%",-,Saint-Hubert
6,FDF,-,55,-,"1,53%",Saint-Hubert
7,PTB,386,-,"11,53%",-,Saint-Hubert
8,PTB-GO!,-,71,-,"1,98%",Saint-Hubert
9,LISTES DESTEXHE,34,-,"1,02%",-,Saint-Hubert
10,PS,971,1.180,"29,01%","32,84%",Saint-Hubert
11,LA DROITE,14,47,"0,42%","1,31%",Saint-Hubert
12,NATION,35,-,"1,05%",-,Saint-Hubert
13,MG,-,8,-,"0,22%",Saint-Hubert
14,DEBOUT LES BELGES,-,48,-,"1,34%",Saint-Hubert
15,R.W.F.,-,7,-,"0,19%",Saint-Hubert
16,B.U.B.-Belg.Unie,-,13,-,"0,36%",Saint-Hubert
0,ECOLO,179,84,"11,42%","5,44%",Sainte-Ode
1,CDH,351,548,"22,40%","35,52%",Sainte-Ode
2,MR,552,498,"35,23%","32,27%",Sainte-Ode
3,PARTI POPULAIRE,43,41,"2,74%","2,66%",Sainte-Ode
4,VLAAMS BELANG,15,-,"0,96%",-,Sainte-Ode
5,DéFI,42,-,"2,68%",-,Sainte-Ode
6,FDF,-,31,-,"2,01%",Sainte-Ode
7,PTB,111,-,"7,08%",-,Sainte-Ode
8,PTB-GO!,-,27,-,"1,75%",Sainte-Ode
9,LISTES DESTEXHE,32,-,"2,04%",-,Sainte-Ode
10,PS,212,272,"13,53%","17,63%",Sainte-Ode
11,LA DROITE,13,14,"0,83%","0,91%",Sainte-Ode
12,NATION,17,-,"1,08%",-,Sainte-Ode
13,MG,-,1,-,"0,06%",Sainte-Ode
14,DEBOUT LES BELGES,-,18,-,"1,17%",Sainte-Ode
15,R.W.F.,-,1,-,"0,06%",Sainte-Ode
16,B.U.B.-Belg.Unie,-,8,-,"0,52%",Sainte-Ode
0,ECOLO,414,165,"12,41%","4,88%",Vaux-sur-Sure
1,CDH,913,1.326,"27,37%","39,22%",Vaux-sur-Sure
2,MR,1.164,1.085,"34,89%","32,09%",Vaux-sur-Sure
3,PARTI POPULAIRE,84,103,"2,52%","3,05%",Vaux-sur-Sure
4,VLAAMS BELANG,17,-,"0,51%",-,Vaux-sur-Sure
5,DéFI,98,-,"2,94%",-,Vaux-sur-Sure
6,FDF,-,49,-,"1,45%",Vaux-sur-Sure
7,PTB,245,-,"7,34%",-,Vaux-sur-Sure
8,PTB-GO!,-,38,-,"1,12%",Vaux-sur-Sure
9,LISTES DESTEXHE,30,-,"0,90%",-,Vaux-sur-Sure
10,PS,322,523,"9,65%","15,47%",Vaux-sur-Sure
11,LA DROITE,30,33,"0,90%","0,98%",Vaux-sur-Sure
12,NATION,19,-,"0,57%",-,Vaux-sur-Sure
13,MG,-,3,-,"0,09%",Vaux-sur-Sure
14,DEBOUT LES BELGES,-,38,-,"1,12%",Vaux-sur-Sure
15,R.W.F.,-,10,-,"0,30%",Vaux-sur-Sure
16,B.U.B.-Belg.Unie,-,8,-,"0,24%",Vaux-sur-Sure
0,ECOLO,459,230,"14,70%","7,52%",Gouvy
1,CDH,1.135,1.269,"36,34%","41,51%",Gouvy
2,MR,452,669,"14,47%","21,88%",Gouvy
3,PARTI POPULAIRE,74,121,"2,37%","3,96%",Gouvy
4,VLAAMS BELANG,35,-,"1,12%",-,Gouvy
5,DéFI,88,-,"2,82%",-,Gouvy
6,FDF,-,27,-,"0,88%",Gouvy
7,PTB,341,-,"10,92%",-,Gouvy
8,PTB-GO!,-,123,-,"4,02%",Gouvy
9,LISTES DESTEXHE,37,-,"1,18%",-,Gouvy
10,PS,453,514,"14,51%","16,81%",Gouvy
11,LA DROITE,33,30,"1,06%","0,98%",Gouvy
12,NATION,16,-,"0,51%",-,Gouvy
13,MG,-,6,-,"0,20%",Gouvy
14,DEBOUT LES BELGES,-,41,-,"1,34%",Gouvy
15,R.W.F.,-,17,-,"0,56%",Gouvy
16,B.U.B.-Belg.Unie,-,10,-,"0,33%",Gouvy
0,ECOLO,733,488,"15,88%","10,50%",Vielsalm
1,CDH,1.307,1.752,"28,31%","37,71%",Vielsalm
2,MR,625,795,"13,54%","17,11%",Vielsalm
3,PARTI POPULAIRE,140,238,"3,03%","5,12%",Vielsalm
4,VLAAMS BELANG,56,-,"1,21%",-,Vielsalm
5,DéFI,104,-,"2,25%",-,Vielsalm
6,FDF,-,47,-,"1,01%",Vielsalm
7,PTB,497,-,"10,77%",-,Vielsalm
8,PTB-GO!,-,186,-,"4,00%",Vielsalm
9,LISTES DESTEXHE,63,-,"1,36%",-,Vielsalm
10,PS,1.004,955,"21,75%","20,56%",Vielsalm
11,LA DROITE,29,61,"0,63%","1,31%",Vielsalm
12,NATION,58,-,"1,26%",-,Vielsalm
13,MG,-,6,-,"0,13%",Vielsalm
14,DEBOUT LES BELGES,-,77,-,"1,66%",Vielsalm
15,R.W.F.,-,32,-,"0,69%",Vielsalm
16,B.U.B.-Belg.Unie,-,9,-,"0,19%",Vielsalm
0,ECOLO,351,167,"19,45%","9,61%",Meix-Devant-Virton
1,CDH,469,606,"25,98%","34,89%",Meix-Devant-Virton
2,MR,319,344,"17,67%","19,80%",Meix-Devant-Virton
3,PARTI POPULAIRE,30,76,"1,66%","4,38%",Meix-Devant-Virton
4,VLAAMS BELANG,11,-,"0,61%",-,Meix-Devant-Virton
5,DéFI,36,-,"1,99%",-,Meix-Devant-Virton
6,FDF,-,12,-,"0,69%",Meix-Devant-Virton
7,PTB,222,-,"12,30%",-,Meix-Devant-Virton
8,PTB-GO!,-,50,-,"2,88%",Meix-Devant-Virton
9,LISTES DESTEXHE,4,-,"0,22%",-,Meix-Devant-Virton
10,PS,338,419,"18,73%","24,12%",Meix-Devant-Virton
11,LA DROITE,16,16,"0,89%","0,92%",Meix-Devant-Virton
12,NATION,9,-,"0,50%",-,Meix-Devant-Virton
13,MG,-,8,-,"0,46%",Meix-Devant-Virton
14,DEBOUT LES BELGES,-,28,-,"1,61%",Meix-Devant-Virton
15,R.W.F.,-,5,-,"0,29%",Meix-Devant-Virton
16,B.U.B.-Belg.Unie,-,6,-,"0,35%",Meix-Devant-Virton
0,ECOLO,484,235,"19,85%","9,47%",Musson
1,CDH,463,691,"18,99%","27,85%",Musson
2,MR,331,398,"13,58%","16,04%",Musson
3,PARTI POPULAIRE,89,95,"3,65%","3,83%",Musson
4,VLAAMS BELANG,26,-,"1,07%",-,Musson
5,DéFI,72,-,"2,95%",-,Musson
6,FDF,-,35,-,"1,41%",Musson
7,PTB,252,-,"10,34%",-,Musson
8,PTB-GO!,-,54,-,"2,18%",Musson
9,LISTES DESTEXHE,11,-,"0,45%",-,Musson
10,PS,662,800,"27,15%","32,25%",Musson
11,LA DROITE,26,35,"1,07%","1,41%",Musson
12,NATION,22,-,"0,90%",-,Musson
13,MG,-,22,-,"0,89%",Musson
14,DEBOUT LES BELGES,-,88,-,"3,55%",Musson
15,R.W.F.,-,14,-,"0,56%",Musson
16,B.U.B.-Belg.Unie,-,14,-,"0,56%",Musson
0,ECOLO,198,120,"15,65%","9,89%",Rouvroy
1,CDH,474,473,"37,47%","38,99%",Rouvroy
2,MR,158,204,"12,49%","16,82%",Rouvroy
3,PARTI POPULAIRE,18,62,"1,42%","5,11%",Rouvroy
4,VLAAMS BELANG,4,-,"0,32%",-,Rouvroy
